Cluster	Kingdom	Phylum	Class	Order	Family	Genus	Species
C4097	Bacteria	Bacillota	Clostridia	Oscillospirales	UCG-010	Incertae Sedis	Incertae Sedis sp.
C4101	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae sp.	Oscillospiraceae sp.
C4103	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Devosia	Devosia sp.
C4104	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Cellvibrio	uncultured bacterium
C4106	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Cellvibrio	uncultured bacterium
C4107	Bacteria	Pseudomonadota	Alphaproteobacteria	Alphaproteobacteria sp.	Alphaproteobacteria sp.	Alphaproteobacteria sp.	Alphaproteobacteria sp.
C4109	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacteriaceae sp.	Enterobacteriaceae sp.
C4113	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomataceae	Leadbetterella	uncultured bacterium
C4114	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas sp.
C4115	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paracoccaceae sp.	Paracoccaceae sp.
C4118	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas sp.
C4122	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp.
C4123	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas sp.
C4124	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcales Incertae Sedis	Populibacterium	Populibacterium sp.
C4126	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
C4129	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium sp.
C4131	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
C4134	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Sporomusaceae	Anaerosporomusa	uncultured bacterium
C4135	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacteriaceae sp.	Sphingobacteriaceae sp.
C4140	NA	NA sp.	NA sp.	NA sp.	NA sp.	NA sp.	NA sp.
C4141	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Cellvibrio	uncultured bacterium
C4142	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Anaerovoracaceae sp.	Anaerovoracaceae sp.
C4147	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter sp.
C4149	NA	NA sp.	NA sp.	NA sp.	NA sp.	NA sp.	NA sp.
C4151	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	Luteolibacter sp.
C4163	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium sp. G2-10
C4164	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas sp. PH5-20
C4165	Bacteria	Bacillota	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	uncultured bacterium
C4166	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae sp.	Lachnospiraceae sp.
C4167	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella sp.
C4168	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Anaerovorax	Anaerovorax sp.
C4169	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae sp.	Lachnospiraceae sp.
C4170	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella sp.
C4171	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Myroides	Myroides sp.
C4172	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter	uncultured bacterium
C4173	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae sp.	Lachnospiraceae sp.
C4174	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp.
C4177	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp.
C4179	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae sp.	Lachnospiraceae sp.
C4180	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas sp.
C4181	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp.
C4182	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae sp.	Lachnospiraceae sp.
C4183	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	Lachnoclostridium sp.
C4184	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp.
C4189	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp.
C4192	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	uncultured bacterium
C4193	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	uncultured bacterium
C4194	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Incertae Sedis	Incertae Sedis sp.
C4196	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	uncultured bacterium
C4197	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae sp.	Ruminococcaceae sp.
C4199	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Xanthobacteraceae sp.	Xanthobacteraceae sp.
C4200	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria sp.	Gammaproteobacteria sp.	Gammaproteobacteria sp.	Gammaproteobacteria sp.
C4202	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomataceae	Leadbetterella	uncultured bacterium
C4205	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacteriaceae sp.	Enterobacteriaceae sp.
C4209	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Anaerovorax	uncultured bacterium
C4211	Bacteria	Bacillota	Clostridia	Clostridia sp.	Clostridia sp.	Clostridia sp.	Clostridia sp.
C4212	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp.
C4213	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	uncultured bacterium
C4221	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides sp.
C4223	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria sp.	Gammaproteobacteria sp.	Gammaproteobacteria sp.	Gammaproteobacteria sp.
C4227	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
C4234	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp.
C4235	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas sp.
C4237	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia	Providencia sp.
C4238	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacteriaceae sp.	Enterobacteriaceae sp.
C4241	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	Fluviicola sp.
C4243	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas sp.
C4244	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp.
