FileType	fastq	Read submission file type
sample	study	instrument_model	library_name	library_source	library_selection	library_strategy	library_layout	file_name	file_md5	library_construction_protocol
pool_34	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool34.fastq.gz	fef8fe2269c520d56b98b3dbac51bde4	Nanopore SQK-LSK114
pool_35	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool35.fastq.gz	f9e9982291d4544617b40d85d5e01cab	Nanopore SQK-LSK114
pool_36	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool36.fastq.gz	a8d07b4abf90827836ea8ce0450a914e	Nanopore SQK-LSK114
pool_37	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool37.fastq.gz	2f517b8cf22e673f383c8176f5524da8	Nanopore SQK-LSK114
pool_38	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool38.fastq.gz	d187972333d55a93c6bb6a68f4f52cfc	Nanopore SQK-LSK114
pool_39	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool39.fastq.gz	80deb7ba9a7056dbeda6b51fe2769e2c	Nanopore SQK-LSK114
pool_4	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool4.fastq.gz	03fccacaf2f0502b522ec4c40293eed9	Nanopore SQK-LSK114
pool_40	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool40.fastq.gz	4f1b931fd9aee4d6e47efec508a03e11	Nanopore SQK-LSK114
pool_41	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool41.fastq.gz	bfd35c9a057e588593e3fead6a0ff419	Nanopore SQK-LSK114
pool_42	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool42.fastq.gz	2c2c656f3d26f054dcd492c10b6c68dd	Nanopore SQK-LSK114
pool_43	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool43.fastq.gz	feecc3b879fbbb589f7e41a5eddae3c7	Nanopore SQK-LSK114
pool_44	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool44.fastq.gz	487870d4447a6b0c7eab10de0586c4fa	Nanopore SQK-LSK114
pool_45	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool45.fastq.gz	3930ad663d11dc592557f4f7fd0e3787	Nanopore SQK-LSK114
pool_46	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool46.fastq.gz	ccf7f71476df914401d1b244a019665a	Nanopore SQK-LSK114
pool_47	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool47.fastq.gz	1cba789c277a429b1377a42035a01198	Nanopore SQK-LSK114
pool_48	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool48.fastq.gz	3d77c54088ea18b0eacc946f394890a8	Nanopore SQK-LSK114
pool_49	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool49.fastq.gz	0a9d72d627606c97024fa326fe24e198	Nanopore SQK-LSK114
pool_5	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool5.fastq.gz	102b3645dd1fc183303fb366e6f11566	Nanopore SQK-LSK114
pool_50	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool50.fastq.gz	575e64f229782130bc81a234e2d9fea9	Nanopore SQK-LSK114
pool_51	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool51.fastq.gz	00418f38b7cdb48ad86dd9186ed4423a	Nanopore SQK-LSK114
pool_52	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool52.fastq.gz	ef9b494f58f09374c352b4ecb8530545	Nanopore SQK-LSK114
pool_53	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool53.fastq.gz	6cde7b31719b3188908c4a8c2179e740	Nanopore SQK-LSK114
pool_54	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool54.fastq.gz	0d21d8b74ed2272494f4b89375436415	Nanopore SQK-LSK114
pool_55	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool55.fastq.gz	acad53f8cb6fcdad482525e50b8fa200	Nanopore SQK-LSK114
pool_56	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool56.fastq.gz	87dd087c3bb3c26d5cf0bff7d5e31307	Nanopore SQK-LSK114
pool_57	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool57.fastq.gz	cc22cb013e478c6e3010295802b0f45e	Nanopore SQK-LSK114
pool_58	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool58.fastq.gz	064e511b8b605ce61fdb5b9c26ad099c	Nanopore SQK-LSK114
pool_59	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool59.fastq.gz	6f1621d1e1e083d37807fd02e32dc6c5	Nanopore SQK-LSK114
pool_6	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool6.fastq.gz	86946795b604781dfed5bc261d6c1c3b	Nanopore SQK-LSK114
pool_60	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool60.fastq.gz	01bc1d5b13fa82bf60904894ca814c07	Nanopore SQK-LSK114
pool_61	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool61.fastq.gz	16293ad833338acc060fe0145a32aa17	Nanopore SQK-LSK114
pool_62	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool62.fastq.gz	e310a409bc0c89e5314ba51d1cbf2386	Nanopore SQK-LSK114
pool_63	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	16s_Pool63.fastq.gz	10c92f4f32f9b76b206edcc0d9d3d699	Nanopore SQK-LSK114
